question,sampleType,timeSec,materialX,radiusM,currentRadiusM,temperatureK,temperatureC,moistureDryBasis
Q4,initial,0,0,0,0.02,301.15,28,2.55
Q4,initial,0,0.25,0.005,0.02,301.15,28,2.55
Q4,initial,0,0.5,0.01,0.02,301.15,28,2.55
Q4,initial,0,0.75,0.015,0.02,301.15,28,2.55
Q4,initial,0,1,0.02,0.02,301.15,28,2.55
Q4,fixedTime,1800,0,0,0.01873,304.188211964706,31.0382119647065,2.55
Q4,fixedTime,1800,0.25,0.0046825,0.01873,304.467637606388,31.3176376063882,2.54999999997897
Q4,fixedTime,1800,0.5,0.009365,0.01873,305.322750501638,32.1727505016384,2.54999604779083
Q4,fixedTime,1800,0.75,0.0140475,0.01873,306.802694005591,33.6526940055907,2.52986917776194
Q4,fixedTime,1800,1,0.01873,0.01873,309.061478663832,35.911478663832,1.12873756666106
Q4,fixedTime,10800,0,0,0.01552,322.971244404099,49.8212444040986,2.45421215918739
Q4,fixedTime,10800,0.25,0.00388,0.01552,322.978450229566,49.8284502295658,2.38108213722267
Q4,fixedTime,10800,0.5,0.00776,0.01552,323.002871394203,49.8528713942034,2.11195400411198
Q4,fixedTime,10800,0.75,0.01164,0.01552,323.049638300062,49.8996383000618,1.55839373089273
Q4,fixedTime,10800,1,0.01552,0.01552,323.127448729388,49.977448729388,0.684023888114484
Q4,criticalEvent,183960.684229919,0,0,0.012,323.15,49.9999999999999,0.15
Q4,criticalEvent,183960.684229919,0.25,0.003,0.012,323.15,50,0.146927860576937
Q4,criticalEvent,183960.684229919,0.5,0.006,0.012,323.15,50,0.137185146133384
Q4,criticalEvent,183960.684229919,0.75,0.009,0.012,323.15,50,0.118135539569964
Q4,criticalEvent,183960.684229919,1,0.012,0.012,323.15,50,0.0526100265254481
Q4,postEventIntegerSecond,183962,0,0,0.012,323.15,50,0.14999932451316
Q4,postEventIntegerSecond,183962,0.25,0.003,0.012,323.15,50,0.146927208317362
Q4,postEventIntegerSecond,183962,0.5,0.006,0.012,323.15,50,0.137184565461513
Q4,postEventIntegerSecond,183962,0.75,0.009,0.012,323.15,50,0.118135089641023
Q4,postEventIntegerSecond,183962,1,0.012,0.012,323.15,50,0.0526099848985264
