question,sampleType,timeSec,materialX,radiusM,currentRadiusM,temperatureK,temperatureC,moistureDryBasis
Q23,initial,0,0,0,0.02,301.15,28,2.55
Q23,initial,0,0.25,0.005,0.02,301.15,28,2.55
Q23,initial,0,0.5,0.01,0.02,301.15,28,2.55
Q23,initial,0,0.75,0.015,0.02,301.15,28,2.55
Q23,initial,0,1,0.02,0.02,301.15,28,2.55
Q23,fixedTime,1800,0,0,0.02,305.339271116482,32.1892711164824,2.54992435955967
Q23,fixedTime,1800,0.25,0.005,0.02,305.532137899565,32.3821378995651,2.54883079154202
Q23,fixedTime,1800,0.5,0.01,0.02,306.115956503302,32.9659565033023,2.52539395082155
Q23,fixedTime,1800,0.75,0.015,0.02,307.110790279852,33.9607902798521,2.3259443302502
Q23,fixedTime,1800,1,0.02,0.02,308.563196425797,35.4131964257974,1.64857727995079
Q23,fixedTime,10800,0,0,0.02,322.999518491908,49.849518491908,1.76617337876989
Q23,fixedTime,10800,0.25,0.005,0.02,323.005359288289,49.8553592882887,1.7165240655287
Q23,fixedTime,10800,0.5,0.01,0.02,323.024622036775,49.8746220367748,1.57017320888739
Q23,fixedTime,10800,0.75,0.015,0.02,323.06015663778,49.9101566377804,1.33321340283796
Q23,fixedTime,10800,1,0.02,0.02,323.116404161036,49.9664041610363,1.00803956680582
Q23,criticalEvent,206938.719518849,0,0,0.02,323.15,50,0.15
Q23,criticalEvent,206938.719518849,0.25,0.005,0.02,323.15,50,0.147686866162093
Q23,criticalEvent,206938.719518849,0.5,0.01,0.02,323.15,50,0.14020979426193
Q23,criticalEvent,206938.719518849,0.75,0.015,0.02,323.15,50,0.124916981456586
Q23,criticalEvent,206938.719518849,1,0.02,0.02,323.15,50,0.0526444996227753
Q23,postEventIntegerSecond,206940,0,0,0.02,323.15,50,0.149999627092155
Q23,postEventIntegerSecond,206940,0.25,0.005,0.02,323.15,50,0.14768650327514
Q23,postEventIntegerSecond,206940,0.5,0.01,0.02,323.15,50,0.140209462963679
Q23,postEventIntegerSecond,206940,0.75,0.015,0.02,323.15,50,0.124916710914182
Q23,postEventIntegerSecond,206940,1,0.02,0.02,323.15,50,0.0526444693567075
