"id","n","dt","lambda","endTime","geometry","steps","maxAbsError","massResidual","minValue","elapsedSeconds","startedUtc","endedUtc","exitCode","decision"
"baseline_N20",20,0.002,1,0.2,"cylinder",100,4.30765281318468e-05,2.22044604925031e-16,0.635353191484192,0.0811629295349121,"2026-09-11 07:17:09 UTC","2026-09-11 07:17:09 UTC",0,"valid_record"
"candidate_N40",40,0.001,1,0.2,"cylinder",200,1.07922477881051e-05,3.27515792264421e-15,0.630958479122597,0.0300579071044922,"2026-09-11 07:17:09 UTC","2026-09-11 07:17:09 UTC",0,"valid_record"
"candidate_N80",80,0.00025,1,0.2,"cylinder",800,2.7028419535835e-06,4.44089209850063e-15,0.628733696502215,0.0999150276184082,"2026-09-11 07:17:09 UTC","2026-09-11 07:17:09 UTC",0,"valid_record"
"candidate_N160",160,6.25e-05,1,0.2,"cylinder",3200,6.76179642611352e-07,6.28386231937839e-14,0.627614528978477,0.301693916320801,"2026-09-11 07:17:09 UTC","2026-09-11 07:17:09 UTC",0,"keep_best"
"negative_flat_N40",40,0.001,1,0.2,"flat",200,0.0879797872759555,-4.77395900588817e-15,0.702177296489339,0.0241200923919678,"2026-09-11 07:17:09 UTC","2026-09-11 07:17:09 UTC",0,"discard_wrong_geometry"
"time_N80",80,0.000125,1,0.2,"cylinder",1600,2.70333308727277e-06,7.16093850883226e-15,0.628733696993348,0.14389705657959,"2026-09-11 07:17:09 UTC","2026-09-11 07:17:09 UTC",0,"valid_record"
"repeat_N160",160,6.25e-05,1,0.2,"cylinder",3200,6.76179642611352e-07,6.28386231937839e-14,0.627614528978477,0.276288986206055,"2026-09-11 07:17:09 UTC","2026-09-11 07:17:10 UTC",0,"valid_record"
"heldout_lambda1p5",160,6.25e-05,1.5,0.37,"cylinder",5920,2.97658457121264e-06,7.11652958784725e-14,0.223762083909707,0.506834983825684,"2026-09-11 07:17:10 UTC","2026-09-11 07:17:10 UTC",0,"heldout_check"
