"check","metric","pass"
"repeat_equal",0,TRUE
"nonlinear_flux_derivative",8.32974578202084e-10,TRUE
"omitted_gradient_detected",3.61,TRUE
"moving_chain_rule",0,TRUE
"mass_balance",7.11652958784725e-14,TRUE
"heldout_error",2.97658457121264e-06,TRUE
