kind,time_s,time_h,delta_time_s,max_C,max_C_minus_threshold,strictly_below
critical_equality,206900.28702201758,57.47230195056044,0.0,0.15,0.0,0
strict_report,206900.64,57.4724,0.3529779824311845,0.14999989718225315,-1.028177468442859e-07,1
