r_cm,T_100s,T_300s,T_600s,T_900s,T_1200s,T_1500s,T_1800s
0.0,28.0000533042965,28.04079134083304,28.453329732465306,29.32429425178003,30.542718975621767,31.995720051350247,33.57534481724713
0.016666666666666666,28.000053490443406,28.040814762998707,28.45341980734605,29.324441650352696,30.542903566981863,31.995931721529985,33.57556324896041
0.03333333333333333,28.00005405026036,28.040885031531104,28.453689972230052,29.324883728011514,30.54345718248419,31.996566542312053,33.57621834111785
0.05,28.000054988408465,28.041002218354436,28.454140301054565,29.32562054496725,30.54437986536982,31.997624539542073,33.577310098923135
0.06666666666666667,28.000056312875074,28.041166465460492,28.45477100162111,29.32665233981976,30.545671860797427,31.99910595471323,33.57883873579789
0.08333333333333333,28.000058034480617,28.041377918737737,28.455582161987365,29.327979114815946,30.54733309663675,32.00101064968368,33.58080405924238
0.1,28.000060167487845,28.041636794043825,28.45657400391042,29.329601050389726,30.54936370257792,32.003338701846815,33.583206085042036
0.11666666666666665,28.000062729729223,28.04194337774146,28.45774688335115,29.331518505521956,30.55176401042621,32.0060904042644,33.58604503736302
0.13333333333333333,28.00006574211318,28.042297959567463,28.459101035848676,29.33373160213415,30.554534034297944,32.00926567000158,33.58932073458027
0.15,28.00006922935296,28.042700899565432,28.46063683081809,29.336240640289702,30.55767399022926,32.01286462756593,33.59303320358464
0.16666666666666666,28.00007322018564,28.043152628980124,28.462354772391677,29.339046098790618,30.561184296663725,32.01688762112849,33.597182679943444
0.18333333333333332,28.00007774683627,28.04365358155701,28.464255243154412,29.342148218203135,30.565065053687647,32.0213346142591,33.60176899364933
0.2,28.000082845915188,28.044204261942298,28.466338759920575,29.34554741722377,30.56931656349758,32.02620578584953,33.60679218357404
0.21666666666666665,28.000088558737048,28.044805246937017,28.46860597491394,29.349244293510253,30.573939331081874,32.03150153041935,33.61225249769785
0.2333333333333333,28.000094930697628,28.04545711461435,28.471057417243117,29.35323920483728,30.57893354212638,32.0372218610371,33.618149778727684
0.25,28.000102012396155,28.04616051479786,28.473693750782616,29.357532687128696,30.584299584705036,32.043367005939444,33.62448407874905
0.26666666666666666,28.000109860065038,28.046916170675786,28.47651577569269,29.36212545551632,30.59003805014936,32.049937408917344,33.63125565952629
0.2833333333333333,28.00011853480936,28.047724805121675,28.47952416701736,29.367017983132314,30.596149209261057,32.05693313121287,33.638464377935236
0.3,28.000128104018245,28.048587213864835,28.48271973529239,29.37221092129971,30.60263353558446,32.06435444904139,33.64611030086792
0.31666666666666665,28.00013864192357,28.049504267463192,28.486103428407603,29.377705100815604,30.609491706460346,32.072201854051286,33.65419370560829
0.3333333333333333,28.000150228637096,28.050476834214805,28.48967606671107,29.383501107890936,30.616724077181402,32.080475453992506,33.66271446501577
0.35000000000000003,28.000162951933248,28.05150585663324,28.49343860696723,29.389599706986587,30.624331206203635,32.089175571341116,33.67167266274441
0.36666666666666664,28.000176907954312,28.052592353783893,28.49739214456207,29.39600184231392,30.632313856379767,32.098302743825684,33.68106859369925
0.3833333333333333,28.00019219997057,28.053737340165412,28.50153764450073,29.40270821044379,30.640672466696174,32.10785712366902,33.69090214889701
0.4,28.000208940629363,28.054941906111992,28.505876209335327,29.40971968626576,30.649407679777426,32.11783907750771,33.70117343107103
0.4166666666666667,28.000227252831394,28.056207220497413,28.510409081716375,29.41703732469807,30.658520343294754,32.1282491869751,33.71188275521013
0.4333333333333333,28.00024726811904,28.057534444964404,28.515137370670004,29.42466192949911,30.66801097892437,32.139087646327425,33.723030033016244
0.44999999999999996,28.000269129508695,28.058924818880257,28.520062324115145,29.432594482816853,30.677880312498928,32.150354863839084,33.73461538897061
0.4666666666666666,28.000292992565107,28.0603796624153,28.52518533176209,29.440836147098025,30.688129275583037,32.162051462432885,33.74663916096108
0.48333333333333334,28.000319023301927,28.06190028549554,28.530507646059277,29.4493878296513,30.698758471300494,32.174177675508474,33.759101284240046
0.5,28.000347401738054,28.063488077945806,28.536030659915014,29.458250616238672,30.70976870747927,32.186733949986035,33.77200190803967
0.5166666666666666,28.000378323200437,28.065144512952088,28.54175590994504,29.467425773175137,30.721160998389166,32.19972094696897,33.785341396291415
0.5333333333333333,28.00041199559456,28.066871050110194,28.547684791478787,29.476914307206584,30.7329360270881,32.213138935606366,33.79911971097408
0.5499999999999999,28.000448643852792,28.06866923139802,28.553818842099474,29.486717403581963,30.745094681905414,32.226988397942876,33.8133370293765
0.5666666666666667,28.000488511501885,28.07054068503703,28.560159745240583,29.496836428333268,30.75763805833509,32.24127002959682,33.82799374491162
0.5833333333333333,28.000531857126134,28.072487022003827,28.566709038642387,29.507272483050087,30.770566917559847,32.255984131503226,33.843089849728926
0.6,28.00057895991074,28.074509938486017,28.573468404320693,29.518026847854344,30.783882226610615,32.27113121670982,33.85862555273371
0.6166666666666667,28.00063012151395,28.07661122016134,28.58043967251251,29.52910098384973,30.79758516040988,32.28671201105294,33.87460128049736
