r_cm,C_100s,C_300s,C_600s,C_900s,C_1200s,C_1500s,C_1800s
0.0,2.55,2.55,2.5499999999999994,2.5499999999452494,2.5499999804611853,2.549999310261891,2.549992403819304
0.016666666666666666,2.55,2.55,2.549999999999999,2.5499999999432306,2.5499999800530255,2.549999300963824,2.549992332115064
0.03333333333333333,2.55,2.55,2.549999999999999,2.5499999999369716,2.5499999788061944,2.549999272753848,2.5499921153686973
0.05,2.55,2.55,2.549999999999999,2.5499999999258383,2.549999976651306,2.549999224648604,2.5499917484451697
0.06666666666666667,2.55,2.55,2.549999999999998,2.5499999999087004,2.5499999734680574,2.5499991549632393,2.549991222589287
0.08333333333333333,2.55,2.55,2.549999999999998,2.5499999998838248,2.5499999690803086,2.5499990612885717,2.5499905254716313
0.1,2.55,2.55,2.5499999999999963,2.549999999848695,2.5499999632453996,2.549998940385505,2.549989640718392
0.11666666666666665,2.55,2.55,2.5499999999999945,2.5499999997997547,2.549999955640809,2.5499987880751256,2.5499885475382285
0.13333333333333333,2.55,2.55,2.5499999999999914,2.54999999973208,2.5499999458499953,2.5499985991541623,2.5499872206038945
0.15,2.55,2.55,2.5499999999999865,2.54999999963888,2.5499999333386905,2.5499983671927735,2.549985629265537
0.16666666666666666,2.55,2.55,2.5499999999999785,2.549999999510828,2.54999991742644,2.5499980843228918,2.5499837368716483
0.18333333333333332,2.55,2.55,2.5499999999999647,2.5499999993352325,2.549999897257565,2.549997741076415,2.549981500493594
0.2,2.55,2.55,2.549999999999943,2.5499999990947986,2.549999871754524,2.5499973260376065,2.549978869698988
0.21666666666666665,2.55,2.55,2.5499999999999083,2.549999998765994,2.5499998395628496,2.5499968254823226,2.54997578547717
0.2333333333333333,2.55,2.55,2.549999999999853,2.5499999983170434,2.549999798996267,2.5499962231101634,2.5499721798051107
0.25,2.55,2.55,2.5499999999997627,2.549999997704975,2.54999974794874,2.549995499472491,2.5499679738012624
0.26666666666666666,2.55,2.55,2.5499999999996197,2.549999996871734,2.5499996837918677,2.5499946313867854,2.5499630761228778
0.2833333333333333,2.55,2.55,2.5499999999993896,2.5499999957394937,2.5499996032749794,2.54999359151959,2.5499573823730217
0.3,2.55,2.55,2.5499999999990246,2.5499999942037688,2.5499995023633177,2.549992347468448,2.5499507723823123
0.31666666666666665,2.55,2.55,2.5499999999984464,2.549999992124434,2.549999376051612,2.5499908608375037,2.5499431078959582
0.3333333333333333,2.55,2.55,2.5499999999975307,2.549999989315063,2.5499992181871143,2.5499890866128925,2.5499342318371148
0.35000000000000003,2.55,2.55,2.5499999999960887,2.5499999855272772,2.5499990211781913,2.5499869717169026,2.5499239643702176
0.36666666666666664,2.55,2.55,2.5499999999938265,2.5499999804305493,2.5499987756630915,2.5499844535801337,2.5499120996395845
0.3833333333333333,2.55,2.55,2.549999999990287,2.5499999735886436,2.549998470204496,2.5499814592370003,2.5498984049409508
0.4,2.55,2.55,2.5499999999847742,2.5499999644249884,2.5499980907756132,2.5499779030875103,2.549882615101567
0.4166666666666667,2.55,2.55,2.5499999999762157,2.5499999521785126,2.549997620184574,2.5499736847352605,2.5498644279704914
0.4333333333333333,2.55,2.55,2.549999999962985,2.5499999358530885,2.5499970375610608,2.5499686877223557,2.5498435036180354
0.44999999999999996,2.55,2.55,2.5499999999426106,2.5499999141430183,2.5499963174689566,2.5499627761220878,2.549819456420102
0.4666666666666666,2.55,2.55,2.5499999999113525,2.5499998853391936,2.5499954289285722,2.5499557913290767,2.5497918489358167
0.48333333333333334,2.55,2.55,2.549999999863599,2.549999847223842,2.5499943345775824,2.549947550358315,2.549760191367187
0.5,2.55,2.55,2.549999999790942,2.549999796914719,2.549992989171487,2.549937840744042,2.549723930554662
0.5166666666666666,2.55,2.55,2.5499999996808205,2.5499997306714524,2.549991337960979,2.549926415868579,2.5496824418151345
0.5333333333333333,2.55,2.55,2.549999999514628,2.5499996436832233,2.5499893153608224,2.549912992782522,2.5496350290688765
0.5499999999999999,2.55,2.55,2.5499999992648585,2.5499995297523124,2.549986842470686,2.549897244694752,2.549580909736436
0.5666666666666667,2.55,2.55,2.5499999988909625,2.549999380906335,2.5499838244461506,2.5498787943130186,2.5495192040567
0.5833333333333333,2.55,2.5499999999999994,2.549999998333686,2.5499991869836167,2.549980148453922,2.549857211221198,2.5494489365455606
0.6,2.55,2.5500000000000003,2.5499999975065912,2.549998935009329,2.5499756796631523,2.5498320010071103,2.549369015528639
0.6166666666666667,2.55,2.55,2.549999996283963,2.5499986084425754,2.549970257089704,2.5498025959677606,2.5492782194243007
0.6333333333333333,2.55,2.55,2.5499999944846032,2.5499981863935606,2.5499636905644953,2.5497683522326717,2.549175200561796
0.65,2.55,2.549999999999999,2.5499999918477463,2.5499976424303705,2.5499557543957976,2.5497285342860123,2.5490584577878983
0.6666666666666666,2.55,2.5499999999999985,2.5499999879992985,2.5499969431623883,2.549946180964942,2.5496823022750688,2.548926319195024
0.6833333333333332,2.55,2.5499999999999976,2.5499999824074693,2.5499960468133396,2.5499346564075243,2.549628709331925,2.5487769498191426
0.7000000000000001,2.55,2.5499999999999936,2.549999974317431,2.549994901008252,2.54992081081846,2.54956667990283,2.5486083154203074
0.7166666666666667,2.55,2.5499999999999865,2.549999962661162,2.5499934401928295,2.5499042086376646,2.5494949928081665,2.548418161173277
0.7333333333333333,2.55,2.5499999999999723,2.5499999459415497,2.5499915831264173,2.549884342778207,2.5494122796322505,2.548204025408688
0.75,2.55,2.5499999999999434,2.5499999220629355,2.5499892289039376,2.5498606198299103,2.549316994876797,2.547963192286657
0.7666666666666666,2.55,2.549999999999885,2.5499998881012145,2.5499862524075954,2.5498323460116943,2.5492073938785142,2.5476926660580372
0.7833333333333333,2.55,2.549999999999768,2.5499998400151,2.5499825000705143,2.549798719633684,2.549081533757583,2.5473891938208175
0.8,2.55,2.5499999999995353,2.5499997722264465,2.5499777829494357,2.549758809251212,2.548937232967051,2.547049204381776
0.8166666666666665,2.55,2.5499999999990783,2.5499996770608053,2.54997186897618,2.549711533707749,2.5487720432081358,2.5466687778488297
0.8333333333333334,2.55,2.5499999999981857,2.5499995440621315,2.549964476091562,2.549655653171147,2.5485832553013847,2.546243681352249
0.8499999999999999,2.55,2.5499999999964618,2.5499993590009824,2.5499552605648113,2.549589737606841,2.548367845214262,2.5457692909201426
0.8666666666666666,2.55,2.5499999999931586,2.5499991025764115,2.549943804246921,2.5495121392417732,2.5481224392529715,2.545240556378886
0.8833333333333334,2.55,2.549999999986888,2.5499987488685387,2.5499296039372767,2.5494209830738437,2.547843328387415,2.544652055123151
0.8999999999999999,2.55,2.549999999975094,2.5499982631035665,2.5499120523211656,2.549314122390895,2.5475263973087774,2.5439978933143097
0.9166666666666666,2.55,2.549999999953101,2.549997598784595,2.549890417745673,2.549189101920029,2.547167082443761,2.5432716663410875
0.9333333333333332,2.55,2.5499999999124676,2.54999669437231,2.549863828569583,2.5490431497970194,2.5467603997473827,2.5424665369804114
0.95,2.55,2.549999999838077,2.5499954684867037,2.5498312430652117,2.5488731161849074,2.5463008527706874,2.5415751116605483
0.9666666666666667,2.55,2.5499999997030605,2.549993813872664,2.5497914185128194,2.5486754255156514,2.5457823834505433,2.540589397052025
0.9833333333333333,2.55,2.5499999994602764,2.5499915906494386,2.5497428894919216,2.548446073547244,2.5451984201731754,2.539500910285916
1.0,2.55,2.549999999027645,2.5499886165053804,2.5496839219183274,2.5481805444635794,2.544541760212602,2.5383005254029065
1.0166666666666666,2.55,2.5499999982634014,2.5499846546373135,2.5496124676311323,2.547873751046793,2.543804513788748,2.536978426978165
1.0333333333333332,2.55,2.5499999969258216,2.549979400766524,2.5495261364037964,2.547520042744022,2.5429781812454384,2.5355242613735993
1.0499999999999998,2.55,2.5499999946058955,2.549972464087053,2.549422128069489,2.547113095980473,2.542053504537813,2.5339269478194724
1.0666666666666667,2.55,2.549999990617137,2.549963344394374,2.5492971684853636,2.546645841880458,2.5410204056899848,2.5321746302894206
