time_s,radius_m,fvm_temperature_K,analytic_temperature_K,temperature_error_K,fvm_moisture_kg_per_kg,analytic_frozen_D_moisture_kg_per_kg,moisture_error_kg_per_kg
1,0,301.14999999999998,301.150000000273,-2.730189407884609e-10,2.5499999999999998,2.5500000000160634,-1.6063594898696465e-11
1,0.019,301.15000309872278,301.15000309625594,2.4668338483024854e-09,2.5499999999999998,2.5500000000004364,-4.3653969328261155e-13
1,0.02,301.15018651542204,301.15018664180531,-1.2638327007152839e-07,2.5180191507959204,2.5177690086910123,0.00025014210490814648
2,0,301.14999999999998,301.150000000273,-2.730189407884609e-10,2.5499999999999998,2.5500000000160163,-1.6016521442452358e-11
2,0.019,301.15003564929191,301.15003565266181,-3.3699052437441424e-09,2.5499999999998986,2.5500000000004066,-5.0803805606847163e-13
2,0.02,301.15052511966019,301.15052529402067,-1.7436047983210301e-07,2.5047510105089175,2.504578197481381,0.00017281302753646699
5,0,301.14999999999998,301.15000000027294,-2.7296209736960009e-10,2.5499999999999998,2.5500000000159933,-1.5993428803540155e-11
5,0.019,301.15042173110504,301.15042177731704,-4.6211994231271092e-08,2.5499998431740547,2.5499998711803262,-2.8006271524105841e-08
5,0.02,301.15205602046598,301.15205628400628,-2.6354030069342116e-07,2.4787837555198942,2.4786784615695088,0.0001052939503853878
10,0,301.14999999999998,301.150000000273,-2.730189407884609e-10,2.5499999999999998,2.5500000000160008,-1.6000978320107606e-11
10,0.019,301.15196349153626,301.15196360967667,-1.1814040590252262e-07,2.5499470147245704,2.5499482573839969,-1.2426594264702828e-06
10,0.02,301.15575296374578,301.15575331871912,-3.5497333783496288e-07,2.4499894972265919,2.4499179098862758,7.1587340316092707e-05
20,0,301.14999999999998,301.15000000027294,-2.7296209736960009e-10,2.5499999999999998,2.5500000000160066,-1.6006751479835657e-11
20,0.019,301.15769761709907,301.15769784531199,-2.2821291167929303e-07,2.5484442908170495,2.5484475586582827,-3.2678412331677009e-06
20,0.02,301.16602841582107,301.16602888493026,-4.6910918172216043e-07,2.4100496395233182,2.4100017192345522,4.7920288765990193e-05
30,0,301.15000000000208,301.15000000027504,-2.7296209736960009e-10,2.5499999999999998,2.5500000000160168,-1.6016965531662208e-11
30,0.019,301.16618812841449,301.16618843771323,-3.0929874128560186e-07,2.5442033865638018,2.5442047852414489,-1.3986776470353846e-06
30,0.02,301.17911235383008,301.17911289940042,-5.4557034445679164e-07,2.3799985370445058,2.3799610242629341,3.751278157171356e-05
60,0,301.15000026891335,301.15000026902231,-1.0896883395616896e-10,2.5499999999999998,2.5500000000160323,-1.6032508654006961e-11
60,0.019,301.20381810795931,301.20381857706337,-4.6910406581446296e-07,2.5217041071988349,2.5216989888015195,5.1183973153179352e-06
60,0.02,301.23029602996542,301.23029650375128,-4.7378586032209569e-07,2.3139937751984085,2.3139696780286645,2.4097169744052849e-05
