time_s,radius_m,fvm_temperature_K,analytic_temperature_K,temperature_error_K,fvm_moisture_kg_per_kg,analytic_frozen_D_moisture_kg_per_kg,moisture_error_kg_per_kg
100,0,301.15005333271927,301.15005330770055,2.5018721316882875e-08,2.5499999999999998,2.5500000002384189,-2.3841906227062282e-10
100,0.0050000000000000001,301.15034747831299,301.15034740059986,7.7713139035040513e-08,2.5499999999999998,2.5500000000083736,-8.3737461409327807e-12
100,0.01,301.15404584598804,301.15404565490775,1.9108028936898336e-07,2.5499999999999998,2.5500000000054261,-5.4263260551579151e-12
100,0.014999999999999999,301.1827022779741,301.1827026239938,-3.4601970355652156e-07,2.549999955732595,2.5499999585345821,-2.801987086797908e-09
100,0.02,301.33006763713684,301.3300714204031,-3.7832662656001048e-06,2.2508796421407546,2.2508118711361416,6.7771004613081942e-05
300,0,301.1907922215068,301.19079133249062,8.8901617800729582e-07,2.5499999999999998,2.5500000001870178,-1.8701795667652732e-10
300,0.0050000000000000001,301.21348879208978,301.21348806986509,7.222246836136037e-07,2.5499999999999998,2.5500000000065759,-6.5760730194597272e-12
300,0.01,301.30139608367057,301.30139597751463,1.0615593737384188e-07,2.5499999989773978,2.5499999990211815,-4.3783643377537373e-11
300,0.014999999999999999,301.51806900174648,301.51807024807687,-1.2463303846743656e-06,2.5491820295685366,2.5491838069306838,-1.777362147237227e-06
300,0.02,301.99884832711206,301.99885401491747,-5.6878054124354094e-06,2.060982751001569,2.060954653496609,2.8097504960022945e-05
600,0,301.60333072457234,301.60332973155795,9.9301439604460029e-07,2.5499999999999989,2.5500000002384584,-2.3845947438871917e-10
600,0.0050000000000000001,301.68603135378675,301.68603066099803,6.927887170604663e-07,2.5499999997823286,2.549999999796114,-1.3785417252165644e-11
600,0.01,301.9539441241177,301.95394428016186,-1.5604416603309801e-07,2.5499883074444738,2.5499883639054342,-5.6460960351500944e-08
600,0.014999999999999999,302.46591475746783,302.46591627692021,-1.5194523825812212e-06,2.534775415405023,2.5347782600802891,-2.8446752660116204e-06
600,0.02,303.31522645605611,303.31522872145183,-2.2653957216789422e-06,1.8951593604984018,1.895145464900674,1.3895597727797693e-05
900,0,302.47429488740232,302.47429425817603,6.2922629240347305e-07,2.549999999942993,2.5500000001687071,-2.2571411406602238e-10
900,0.0050000000000000001,302.6082509738057,302.60825062293537,3.5087032301817089e-07,2.5499997906835485,2.549999792239757,-1.5562084954012789e-09
900,0.01,303.02545397292448,303.02545437658625,-4.0366177245232393e-07,2.5496733421858861,2.5496737959836677,-4.5379778157439432e-07
900,0.014999999999999999,303.76614116968534,303.76614243479025,-1.2651049132728076e-06,2.5025844040919796,2.5025855220355084,-1.1179435288610762e-06
900,0.02,304.88040011940984,304.88040032848448,-2.0907464204356074e-07,1.7798647082732515,1.7798563686721773,8.3396010741587645e-06
1200,0,303.69271919366395,303.69271897459151,2.1907243308305624e-07,2.5499999798045696,2.5499999802992317,-4.9466208906778775e-10
1200,0.0050000000000000001,303.85976876976946,303.8597687056324,6.4137054778257152e-08,2.5499927543187528,2.5499927768826249,-2.2563872104086613e-08
1200,0.01,304.37234857590823,304.37234899608382,-4.2017558143925271e-07,2.5481046365263991,2.5481057056514711,-1.0691250720284984e-06
1200,0.014999999999999999,305.26255809291445,305.26255917781396,-1.084899508896342e-06,2.4603347946746972,2.4603343531241193,4.4155057787875762e-07
1200,0.02,306.577633779633,306.57763583357183,-2.0539388287943439e-06,1.6898764491124791,1.6898710812633762,5.3678491029884867e-06
1500,0,305.14572003297263,305.14572004941522,-1.6442584183096187e-08,2.5499992863695353,2.5499992899996871,-3.6301517347681056e-09
1500,0.0050000000000000001,305.33673380481355,305.33673394907441,-1.4426086636376567e-07,2.5499354225012478,2.5499355249453104,-1.0244406256632033e-07
1500,0.01,305.91602054086979,305.91602103586632,-4.9499652732265531e-07,2.5442700049070655,2.5442715884001288,-1.5834930633396027e-06
1500,0.014999999999999999,306.89627693171667,306.89627767079492,-7.3907824571506353e-07,2.4135762390083659,2.4135748082566075,1.4307517584022378e-06
1500,0.02,308.27026185921108,308.27026146987458,3.8933649193495512e-07,1.6155942768323857,1.6155907093973543,3.5674350313819048e-06
1800,0,306.72534446744748,306.72534482780486,-3.6035737593920203e-07,2.5499921130776797,2.5499921347946053,-2.1716925591164227e-08
1800,0.0050000000000000001,306.92200158496473,306.92200191547209,-3.305073619230825e-07,2.5497115113127395,2.5497117747862865,-2.6347354697975334e-07
1800,0.01,307.51416048744932,307.5141607963489,-3.0889958679836127e-07,2.5376300986759071,2.5376319832532355,-1.8845773284148493e-06
1800,0.014999999999999999,308.51212406618419,308.51212459074998,-5.2456579169302131e-07,2.3653299918285491,2.3653280107026973,1.9811258518132036e-06
1800,0.02,309.93555971728415,309.93556035702767,-6.3974351860451861e-07,1.552155309642927,1.5521529532747804,2.3563681466054476e-06
