time_s,radius_m,fvm_temperature_K,analytic_temperature_K,temperature_error_K,fvm_moisture_kg_per_kg,analytic_frozen_D_moisture_kg_per_kg,moisture_error_kg_per_kg
100,0,301.15005341957215,301.15005330770055,1.1187159998371499e-07,2.5499999999999998,,
100,0.0050000000000000001,301.15034771176045,301.15034740059986,3.1116059062696877e-07,2.5499999999999998,,
100,0.01,301.15404641936567,301.15404565490775,7.6445792274171254e-07,2.5499999999999998,,
100,0.014999999999999999,301.18270123727206,301.1827026239938,-1.3867217489860195e-06,2.5499999472257833,,
100,0.02,301.33005632660678,301.3300714204031,-1.5093796321252739e-05,2.247344218275027,,
300,0,301.19079489931931,301.19079133249062,3.5668286955115036e-06,2.5499999999999998,,
300,0.0050000000000000001,301.21349095909721,301.21348806986509,2.8892321211060334e-06,2.5499999999999998,,
300,0.01,301.30139641769728,301.30139597751463,4.4018264588885359e-07,2.549999998866614,,
300,0.014999999999999999,301.51806526327982,301.51807024807687,-4.9847970444716339e-06,2.5491929268704765,,
300,0.02,301.99883321634178,301.99885401491747,-2.0798575690150756e-05,2.0509713471109716,,
600,0,301.60333372496251,301.60332973155795,3.993404561697389e-06,2.5499999999999998,,
600,0.0050000000000000001,301.68603344641525,301.68603066099803,2.7854172230945551e-06,2.5499999997692608,,
600,0.01,301.95394367346375,301.95394428016186,-6.0669810864055762e-07,2.5499883964458472,,
600,0.014999999999999999,302.46591025926591,302.46591627692021,-6.0176543001944083e-06,2.5352654453709298,,
600,0.02,303.31521749513547,303.31522872145183,-1.1226316360080091e-05,1.8770357830030928,,
900,0,302.47429681211355,302.47429425817603,2.5539375201333314e-06,2.5499999999401113,,
900,0.0050000000000000001,302.60825205444627,302.60825062293537,1.4315108955997857e-06,2.5499997908613019,,
900,0.01,303.02545279061343,303.02545437658625,-1.5859728250688931e-06,2.5496821753985301,,
900,0.014999999999999999,303.76613740337694,303.76614243479025,-5.031413309097843e-06,2.5045395418806975,,
900,0.02,304.88039403099066,304.88040032848448,-6.2974938259685587e-06,1.7547618977999742,,
1200,0,303.69271985509698,303.69271897459151,8.8050546764861792e-07,2.549999979713844,,
1200,0.0050000000000000001,303.85976895408572,303.8597687056324,2.4845331836331752e-07,2.5499929020076508,,
1200,0.01,304.3723473054381,304.37234899608382,-1.6906457176446565e-06,2.5481764701708167,,
1200,0.014999999999999999,305.2625548141022,305.26255917781396,-4.363711752830568e-06,2.4645708073461186,,
1200,0.02,306.57762770393845,306.57763583357183,-8.1296333860336745e-06,1.6585925310188805,,
1500,0,305.14571991999657,305.14572004941522,-1.2941865179527667e-07,2.5499992970460519,,
1500,0.0050000000000000001,305.3367333067971,305.33673394907441,-6.4227731400023913e-07,2.5499374482516335,,
1500,0.01,305.91601900161828,305.91602103586632,-2.0342480411272845e-06,2.5445357766411258,,
1500,0.014999999999999999,306.89627470641682,306.89627767079492,-2.9643780976584821e-06,2.4206161169039331,,
1500,0.02,308.27026274242678,308.27026146987458,1.2725521969514375e-06,1.5787498451237119,,
1800,0,306.72534334885347,306.72534482780486,-1.4789513897994766e-06,2.5499923211477871,,
1800,0.0050000000000000001,306.92200053600601,306.92200191547209,-1.3794660844723694e-06,2.5497229287781451,,
1800,0.01,307.51415944784662,307.5141607963489,-1.3485022805070912e-06,2.5382934561858401,,
1800,0.014999999999999999,308.51212231603341,308.51212459074998,-2.2747165644432243e-06,2.3754780126962731,,
1800,0.02,309.93555764124187,309.93556035702767,-2.71578579713605e-06,1.5102556198306534,,
