case,N,event_h,source_path,source_sha256,solver_sha256
fixed,200,129.84522834701946,paper_output/results/experiments/physical_Q4_fixed_N200_K/summary.json,251f974f4995f12bb6161f933bb45103935de9cfe83e841884f453097aaa1483,99ca2a3d71944b81e38fe647c411361720e1e8ff379abdc94a17fb0b45bbadce
shrinking,200,51.090973419826916,paper_output/results/experiments/grids_Q4_N200_K/summary.json,cf28eb6fdfb9debcc69cdec79413c91e819c40a30e0330b4914c78b78c63006c,99ca2a3d71944b81e38fe647c411361720e1e8ff379abdc94a17fb0b45bbadce
