question,coarse_N,fine_N,maximum_C_difference_kg_kg,maximum_T_difference_K,event_difference_fine_minus_coarse_s,compared_integer_time_count,physical_radial_count,C_maximum_difference_time_s,C_maximum_difference_radius_m,source_path,source_sha256,solver_sha256
Q1,800,1600,0.00018988217883419978,2.4831436462591228e-06,,1801,21,1.0,0.02,paper_output/results/convergence/Q1_K_analytic_J_v3/convergence_report.json,78362f990ca25ca6caad1e8e93b9ca8e2c86d934d8ade58aa74720c2a858c5e7,1c5b3fdea157e5025fcec8b89a5ff1fe6030a120b6eb4edd80042e81a676124a
Q1,1600,3200,4.690332349133186e-05,1.9161718682880746e-06,,1801,21,1.0,0.02,paper_output/results/convergence/Q1_K_analytic_J_v3/convergence_report.json,78362f990ca25ca6caad1e8e93b9ca8e2c86d934d8ade58aa74720c2a858c5e7,1c5b3fdea157e5025fcec8b89a5ff1fe6030a120b6eb4edd80042e81a676124a
Q23,1600,3200,3.830289061168557e-05,2.8929259201504465e-06,-0.020146428927546367,206903,21,1.0,0.02,paper_output/results/convergence/Q23_final_resolution_v5/convergence_report.json,0fe5a791f3df2dff3b29c0bcc4a0e527da6f7330570f5144c2f573bc4781a579,325a17c9da48f2ed04f74c1cc7576104449b3340d856f87a181f746d674b70a8
Q4,1600,3200,6.976616569297905e-05,2.666802117801126e-06,-0.016721835534553975,183929,21,125325.0,0.012,paper_output/results/convergence/Q4_final_resolution_v5/convergence_report.json,2cd0caad1176bfd182b6be0fe564da80081162bad24753e90a97b8eabb0b5a3d,325a17c9da48f2ed04f74c1cc7576104449b3340d856f87a181f746d674b70a8
Q4,3200,6400,1.9799471771719812e-05,9.633932904762332e-07,-0.0041705477342475206,183929,21,125662.0,0.012,paper_output/results/convergence/Q4_final_resolution_v5/convergence_report.json,2cd0caad1176bfd182b6be0fe564da80081162bad24753e90a97b8eabb0b5a3d,325a17c9da48f2ed04f74c1cc7576104449b3340d856f87a181f746d674b70a8
