time_h,centre_T_C,surface_T_C
0.0,28.0,28.0
0.016666666666666666,28.000000030452554,28.058072208799217
0.027777777777777776,28.000011945447454,28.131755841112977
0.03333333333333333,28.000060631186216,28.17658642869651
0.05,28.001160919059373,28.315699267639786
0.06666666666666667,28.006261929373522,28.453696581139923
0.08333333333333333,28.01906996338431,28.644879759800972
0.1,28.042169615812384,28.84261157855792
0.11666666666666667,28.07729751233495,29.04950963839093
0.13333333333333333,28.12620864253188,29.24406434775142
0.15,28.189769640505062,29.46638620082939
0.16666666666666666,28.267806707104796,29.69904579182321
0.18333333333333332,28.359639854839372,29.961231248921592
0.2,28.465036616198915,30.215840040809667
0.21666666666666667,28.584111032059354,30.481563571349852
0.23333333333333334,28.71700354234173,30.737876515180744
0.25,28.863268972544404,30.992727637164535
0.26666666666666666,29.022094561484607,31.272420208016513
0.2833333333333333,29.19224845325965,31.536006387528403
0.3,29.37278461281454,31.839385900602565
0.31666666666666665,29.563135951054846,32.135125544333334
0.3333333333333333,29.7628938165127,32.433923806971734
0.35,29.97221696373458,32.71590311701908
0.36666666666666664,30.190820976528244,33.03082407091142
0.38333333333333336,30.4179064667249,33.34138606433669
0.4,30.65271067326364,33.64179623096118
0.4166666666666667,30.895126906946302,33.91568406581848
0.43333333333333335,31.14465262508213,34.21080760041639
0.45,31.39999432723522,34.49026619732382
0.4666666666666667,31.659727847388524,34.77889988518348
0.48333333333333334,31.923036519395453,35.097801133678786
0.5,32.18924465085695,35.41302049753887
0.5166666666666667,32.458499260289386,35.73063699108053
0.5333333333333333,32.731547543136855,36.00838835103582
0.55,33.00870641906795,36.29027293297122
0.5666666666666667,33.28934354331801,36.58243589468799
0.5833333333333334,33.571975661071804,36.858024319579386
0.6,33.85571139395398,37.13101854138364
0.6166666666666667,34.140067675398086,37.42484893077307
0.6333333333333333,34.424402980676746,37.700317119492695
0.65,34.708540292321345,37.995814128748634
0.6666666666666666,34.99266841737983,38.2724190549759
0.6833333333333333,35.276853867674106,38.564251410022166
0.7,35.56125977655546,38.8417258930661
0.7166666666666667,35.84581654899404,39.090101410294835
0.7333333333333333,36.130496428621996,39.36919651972494
0.75,36.414549949018976,39.64156929292244
0.7666666666666667,36.697252750581185,39.88040438965038
0.7833333333333333,36.9787771692329,40.11430359027594
0.8,37.258741880360105,40.37401002725426
0.8166666666666667,37.53605572270101,40.59647350926065
0.8333333333333334,37.810319195965576,40.82110986817946
0.85,38.08152495652001,41.03756317306335
0.8666666666666667,38.34903863038613,41.29912779231381
0.8833333333333333,38.61247075268079,41.542095371865855
0.9,38.87235651010843,41.773316911158815
0.9166666666666666,39.13000205371054,42.00293455862686
0.9333333333333333,39.385789529178965,42.20649376820052
0.95,39.639513224159145,42.4149496829059
0.9666666666666667,39.89059105820962,42.59687362480474
0.9833333333333333,40.13818706091695,42.778884492944826
1.0,40.38156673022297,42.997608188597496
1.0166666666666666,40.619938149924565,43.194800131355066
1.0333333333333334,40.85361138286453,43.38832387999912
1.05,41.08361770750366,43.58943667460625
1.0666666666666667,41.310281408026924,43.77388085345484
1.0833333333333333,41.53381792120956,43.947307670598434
1.1,41.754356119480406,44.11906808712331
1.1166666666666667,41.97150928139962,44.272563897494365
1.1333333333333333,42.1847949361491,44.40978120021185
1.15,42.39370391005775,44.577012972337116
1.1666666666666667,42.597451431859724,44.72697647470915
1.1833333333333333,42.795866728157534,44.883782118317356
1.2,42.98957267003345,45.06422021425209
1.2166666666666666,43.179009325086724,45.19304247483234
1.2333333333333334,43.36506717367115,45.308450657224
1.25,43.548103966035114,45.445384565124186
1.2666666666666666,43.72696046061907,45.58146187446346
1.2833333333333334,43.9009641081293,45.73484288682738
1.3,44.07054113651185,45.871936669506965
1.3166666666666667,44.236559592140964,46.014580902172895
1.3333333333333333,44.3998443339072,46.14254365689027
1.35,44.560681228667306,46.24832637052117
1.3666666666666667,44.71908503967461,46.38108105207192
1.3833333333333333,44.87442883377457,46.46789546713103
1.4,45.026284782221296,46.54685503351351
1.4166666666666667,45.17437026577767,46.639817113474464
1.4333333333333333,45.317499435707646,46.7745024096248
1.45,45.45518868810143,46.880643872973906
1.4666666666666666,45.58857657106307,46.95839061541403
1.4833333333333334,45.71915044618214,47.061697262123175
1.5,45.84675506019789,47.140050004863326
1.5166666666666666,45.97094393667544,47.25169116600176
1.5333333333333334,46.09177861545646,47.34122905671683
1.55,46.20952189692497,47.41957158248613
1.5666666666666667,46.324834063938795,47.49356138759765
1.5833333333333333,46.43751228784902,47.58907209621094
