"a","left","right","potential_difference","quadrature","abs_difference"
0.89,0.05,0.15,5.14807475590125e-05,5.14807475590125e-05,0
0.89,0.15,0.9,0.135808904843836,0.135808904843836,2.77555756156289e-17
0.89,0.9,2.55,0.95424497684158,0.95424497684158,2.22044604925031e-16
0.45,0.05,0.15,0.00159571958196669,0.00159571958196669,0
0.45,0.15,0.9,0.292383187329307,0.292383187329307,0
0.45,0.9,2.55,1.24662557650667,1.24662557650667,2.22044604925031e-16
0.3,0.05,0.15,0.00561422639988905,0.00561422639988905,3.46944695195361e-18
0.3,0.15,0.9,0.390581716638761,0.390581716638761,1.11022302462516e-16
0.3,0.9,2.55,1.36762528960487,1.36762528960487,0
