"metric","value"
"figure_count",6
"input_csv_count",14
"input_data_rows",4627
"figure4_report_delta_s",0.352977982431185
"figure4_report_M_minus_threshold",-1.02817746844286e-07
"figure4_max_centre_difference",4.44089209850063e-16
"figure4_saved_endpoint_h",57.4727777777778
"new_pde_runs",0
