time_h,centre_C,surface_C,max_C,threshold_C
0.0,2.55,2.55,2.55,0.15
0.16666666666666666,2.5499999999999616,1.932333679543201,2.549999999999962,0.15
0.23946990740740742,2.549999999513265,1.8414177191791696,2.549999999513265,0.15
0.3333333333333333,2.5499997449316547,1.75483808047043,2.5499997449316547,0.15
0.47893981481481485,2.54996009099234,1.6596831594308719,2.54996009099234,0.15
0.5,2.549934098712396,1.648617763296951,2.549934098712396,0.15
0.6666666666666666,2.5487868274876786,1.575144839237342,2.5487868274876786,0.15
0.7184097222222222,2.547692023196791,1.5563741285490365,2.547692023196791,0.15
0.8333333333333334,2.5426982001528713,1.518709216739108,2.5426982001528713,0.15
0.9578796296296297,2.5313475580957445,1.4826943754055513,2.5313475580957445,0.15
1.0,2.525737581666651,1.4710935709908923,2.525737581666651,0.15
1.1666666666666667,2.493636754283581,1.4280465521092676,2.493636754283581,0.15
1.1973495370370373,2.4859882153397574,1.4204224026777688,2.4859882153397574,0.15
1.3333333333333333,2.446100066143822,1.3873595188418548,2.446100066143822,0.15
1.4368194444444444,2.410034833770781,1.3625646808718603,2.410034833770781,0.15
1.5,2.3860642375382324,1.3475672694956466,2.3860642375382324,0.15
1.6666666666666667,2.3177348085381237,1.308480784994749,2.3177348085381237,0.15
1.6762893518518518,2.313622938164241,1.3062733767636914,2.313622938164241,0.15
1.8333333333333333,2.2450030944893835,1.2697320312200968,2.2450030944893835,0.15
1.9157592592592594,2.2083534947832884,1.2505035011626795,2.2083534947832884,0.15
2.0,2.170851534319539,1.231092609907377,2.170851534319539,0.15
2.155229166666667,2.1023261848571315,1.1950349059595549,2.1023261848571315,0.15
2.1666666666666665,2.0973322932322676,1.1923825357412408,2.0973322932322676,0.15
2.3333333333333335,2.025737632442112,1.1543151805982343,2.025737632442112,0.15
2.3946990740740746,1.999986441176025,1.1404672441225703,1.999986441176025,0.15
2.5,1.9566417548017259,1.1166476186266852,1.9566417548017259,0.15
2.6341689814814813,1.9030421224513259,1.0869156885666609,1.9030421224513259,0.15
2.6666666666666665,1.8903368731828538,1.0797855739780438,1.8903368731828538,0.15
2.8333333333333335,1.826863464580441,1.043550122491597,1.826863464580441,0.15
2.873638888888889,1.8119350231914528,1.0348433295355597,1.8119350231914528,0.15
3.0,1.7661771002440243,1.0081231118401026,1.7661771002440243,0.15
3.1131087962962964,1.726515154035964,0.9845585793046993,1.726515154035964,0.15
3.1666666666666665,1.7081464132959898,0.9735492175144662,1.7081464132959898,0.15
3.3333333333333335,1.652676475597121,0.9398063571225899,1.652676475597121,0.15
3.3525787037037036,1.6464319488878798,0.9360542125383345,1.6464319488878798,0.15
3.5,1.5996444198614048,0.9070576844587935,1.5996444198614048,0.15
3.592048611111111,1.5713538533757012,0.8895510990692996,1.5713538533757012,0.15
3.6666666666666665,1.5489046222310272,0.8754553331022156,1.5489046222310272,0.15
3.8315185185185188,1.5007846595611058,0.8451815036425137,1.5007846595611058,0.15
3.8333333333333335,1.5002658361172845,0.8448493356259166,1.5002658361172845,0.15
4.0,1.4536060026247801,0.8153461606670128,1.4536060026247801,0.15
4.070988425925926,1.4343007689508753,0.8030777297337613,1.4343007689508753,0.15
4.310458333333334,1.3715981000039512,0.7629925765740403,1.3715981000039512,0.15
4.549928240740741,1.312405342274947,0.7249201406896839,1.312405342274947,0.15
4.789398148148149,1.2564816103468528,0.6887878213131596,1.2564816103468528,0.15
5.028868055555555,1.2036160405246938,0.6545127842955154,1.2036160405246938,0.15
5.2683379629629625,1.1536210754850076,0.6220093636771633,1.1536210754850076,0.15
5.50780787037037,1.1063274114785366,0.591191907190347,1.1063274114785366,0.15
5.747277777777778,1.061580271471064,0.561976442927254,1.061580271471064,0.15
5.986747685185185,1.0192367279343033,0.5342816532638469,1.0192367279343033,0.15
6.226217592592593,0.979163788152335,0.5080294190465068,0.979163788152335,0.15
6.4656875000000005,0.9412370116896652,0.4831450958357458,0.9412370116896652,0.15
6.705157407407407,0.9053394921730133,0.45955762384345533,0.9053394921730133,0.15
6.944627314814815,0.8713610868588268,0.43719953572223497,0.8713610868588268,0.15
7.184097222222222,0.8391978151403954,0.4160069027225239,0.8391978151403954,0.15
7.42356712962963,0.8087513733790939,0.3959192447547151,0.8087513733790939,0.15
7.6630370370370375,0.7799287311806417,0.37687942037428446,0.7799287311806417,0.15
7.902506944444445,0.7526417860246577,0.35883350662911956,0.7526417860246577,0.15
8.141976851851853,0.7268070609088059,0.3417306747918841,0.7268070609088059,0.15
8.38144675925926,0.7023454347371241,0.325523065438776,0.7023454347371241,0.15
8.620916666666668,0.6791818984847381,0.3101656646186625,0.6791818984847381,0.15
8.860386574074074,0.6572453323216879,0.29561618166061554,0.6572453323216879,0.15
9.099856481481481,0.6364683002804234,0.2818349282926947,0.6364683002804234,0.15
9.33932638888889,0.6167868599685237,0.26878469806451405,0.6167868599685237,0.15
9.578796296296298,0.5981403854319338,0.256430644517527,0.5981403854319338,0.15
9.818266203703702,0.5804714016758621,0.24474015609695338,0.5804714016758621,0.15
10.05773611111111,0.5637254296227675,0.23368272545983587,0.5637254296227675,0.15
10.297206018518517,0.5478508404764683,0.22322981064106992,0.5478508404764683,0.15
10.536675925925925,0.5327987185987768,0.21335468556264955,0.5327987185987768,0.15
10.776145833333333,0.5185227321097031,0.2040322777031711,0.5185227321097031,0.15
11.01561574074074,0.5049790105068259,0.19523899149087537,0.5049790105068259,0.15
11.255085648148148,0.4921260286715212,0.1869525172412957,0.4921260286715212,0.15
11.494555555555555,0.4799244966942838,0.1791516272831251,0.4799244966942838,0.15
11.734025462962963,0.4683372550107304,0.17181596326657533,0.4683372550107304,0.15
