time_h,centre_C_kg_per_kg,surface_C_kg_per_kg
0.0,2.55,2.55
0.016666666666666666,2.55,2.3270855075611743
0.027777777777777776,2.55,2.26691810978415
0.03333333333333333,2.55,2.2420962174503494
0.05,2.55,2.179837863792437
0.06666666666666667,2.55,2.1292866858945283
0.08333333333333333,2.55,2.08635656399775
0.1,2.55,2.048875357941723
0.11666666666666667,2.55,2.015462737563446
0.13333333333333333,2.5500000000000003,1.9852256035743543
0.15,2.5499999999999976,1.9576421816350673
0.16666666666666666,2.5499999999999616,1.932333679543201
0.18333333333333332,2.5499999999993657,1.9089927695619293
0.2,2.549999999993363,1.8873219812831223
0.21666666666666667,2.549999999951076,1.867090373200556
0.23333333333333334,2.5499999997263263,1.8481241842613463
0.25,2.5499999987728046,1.8302412200402693
0.26666666666666666,2.5499999954035846,1.8134090841342294
0.2833333333333333,2.5499999851613335,1.797491426227665
0.3,2.549999957689331,1.7824863938304396
0.31666666666666665,2.5499998913659123,1.768308671846577
0.3333333333333333,2.5499997449316547,1.75483808047043
0.35,2.5499994454137034,1.7419706184240111
0.36666666666666664,2.5499988718338513,1.729738428626205
0.38333333333333336,2.5499978344758394,1.7181343896990164
0.4,2.549996049826139,1.7069977008543635
0.4166666666666667,2.5499931115553625,1.696250112215254
0.43333333333333335,2.549988458211594,1.6859257757419372
0.45,2.5499813387951225,1.6760019607019454
0.4666666666666667,2.5499707776715006,1.6664391930834626
0.48333333333333334,2.549955539953265,1.6573276524081602
0.5,2.549934098712396,1.648617763296951
0.5166666666666667,2.5499046049609277,1.640244383943005
0.5333333333333333,2.549864860096562,1.6321075787373802
0.55,2.5498122923584394,1.6241802185117686
0.5666666666666667,2.5497439396972377,1.6165266401277532
0.5833333333333334,2.5496564422710577,1.6090910983556457
0.6,2.5495460424833682,1.6018523248711327
0.6166666666666667,2.5494085894787646,1.5948758497063464
0.6333333333333333,2.549239552575476,1.5881033382220027
0.65,2.5490340415143176,1.5815258104093795
0.6666666666666666,2.5487868274876786,1.575144839237342
0.6833333333333333,2.548492371316921,1.5689496870947
0.7,2.5481448547144043,1.5629293997126792
0.7166666666666667,2.547738217632956,1.5569909990415367
0.7333333333333333,2.547266197896278,1.5512065047531243
0.75,2.546722381235233,1.5455906749477963
0.7666666666666667,2.5461002661543533,1.5400416794523804
0.7833333333333333,2.545393302773966,1.534553202445668
0.8,2.544594934802478,1.529201873456921
0.8166666666666667,2.543698681005056,1.523941447333264
0.8333333333333334,2.5426982001528713,1.518709216739108
0.85,2.541587315861685,1.5135729731950105
0.8666666666666667,2.540360078888896,1.508577260646832
0.8833333333333333,2.5390108312648882,1.5037347247255275
0.9,2.537534221350406,1.4989467122522955
0.9166666666666666,2.535925158391591,1.4942311236714823
0.9333333333333333,2.534178822863077,1.489538639544481
0.95,2.532290738846728,1.4848823474306536
0.9666666666666667,2.5302568286337657,1.4802431312441215
0.9833333333333333,2.528073479931895,1.4756175058986687
1.0,2.525737581666651,1.4710935709908923
1.0166666666666666,2.523246564969559,1.4666569487321486
1.0333333333333334,2.5205983778518903,1.4622500025083658
1.05,2.517791348614384,1.4579176451637879
1.0666666666666667,2.5148241720117928,1.4536131959830598
1.0833333333333333,2.511695948711878,1.449315099171241
1.1,2.508406165870898,1.445048479425492
1.1166666666666667,2.5049547342984004,1.4407767045402655
1.1333333333333333,2.501342036129848,1.4364794802280028
1.15,2.497568923799101,1.432242156986101
1.1666666666666667,2.493636754283581,1.4280465521092676
1.1833333333333333,2.4895473786337106,1.4238677455589674
1.2,2.4853029642451343,1.4197797062584112
1.2166666666666666,2.480905921326236,1.415682764081405
1.2333333333333334,2.476358842679126,1.4115238199740097
1.25,2.471664421951071,1.4073973065726555
1.2666666666666666,2.466825689546597,1.4033186456460207
1.2833333333333334,2.461846140384872,1.399283692633835
1.3,2.4567295095900694,1.3952954403044602
1.3166666666666667,2.4514795771205233,1.3913261549730098
1.3333333333333333,2.446100066143822,1.3873595188418548
1.35,2.4405946949366712,1.3833602946576644
1.3666666666666667,2.434967237122567,1.3793958589068593
1.3833333333333333,2.429221622076475,1.3754187190764136
1.4,2.4233620168523404,1.3713722246522437
1.4166666666666667,2.4173927086382037,1.3673382682610218
1.4333333333333333,2.4113182528530537,1.3633806655585525
1.45,2.4051435243594597,1.359460023296308
1.4666666666666666,2.3988733605218884,1.3554811958126265
1.4833333333333334,2.3925121905591222,1.3515285501042422
1.5,2.3860642375382324,1.3475672694956466
1.5166666666666666,2.3795338409745685,1.343644133506707
1.5333333333333334,2.372925347429603,1.3397522891051976
1.55,2.3662430412767814,1.3358144549641617
1.5666666666666667,2.3594909914185673,1.33187954454132
1.5833333333333333,2.35267313330905,1.327965145454976
1.6,2.3457934619693495,1.3240689246956785
1.6166666666666667,2.338855973083035,1.3201118661300772
1.6333333333333333,2.3318644846649446,1.3161596006581286
1.65,2.324822781438442,1.3122798531466853
1.6666666666666667,2.3177348085381237,1.308480784994749
1.6833333333333333,2.3106043846669224,1.3046461636846645
1.7,2.3034346702990542,1.3007432753112003
1.7166666666666666,2.2962283508968824,1.2968787476320758
1.7333333333333334,2.288988239823342,1.2930571589989648
1.75,2.281717453009586,1.2892117595154255
1.7666666666666666,2.2744189308197393,1.2853204815787582
1.7833333333333334,2.2670953727682757,1.2814033556695066
1.8,2.2597495323044208,1.2774540938116328
1.8166666666666667,2.252384381784777,1.2735844487479862
1.8333333333333333,2.2450030944893835,1.2697320312200968
